BGRI2021,N_INDIVIDUOS,supply_departures,dep_per_1000_pop,pop_per_departure,underservice_score
06033900209,75.0,48.0,640.0,1.5625,1.530612244897959
06031200406,38.0,24.0,631.578947368421,1.5833333333333333,1.52
06030100219,41.0,26.0,634.1463414634146,1.5769230769230769,1.5185185185185186
06033800111,165.0,108.0,654.5454545454545,1.5277777777777777,1.5137614678899083
06030100305,59.0,38.0,644.0677966101695,1.5526315789473684,1.5128205128205128
06033300105,59.0,38.0,644.0677966101695,1.5526315789473684,1.5128205128205128
06031100107,62.0,40.0,645.1612903225806,1.55,1.5121951219512195
06033300312,83.0,54.0,650.6024096385541,1.537037037037037,1.509090909090909
06030100227,25.0,16.0,640.0,1.5625,1.4705882352941178
06030900107,135.0,91.0,674.074074074074,1.4835164835164836,1.4673913043478262
06031800606,241.0,164.0,680.4979253112033,1.4695121951219512,1.4606060606060607
06031802605,235.0,160.0,680.8510638297872,1.46875,1.4596273291925466
06033800709,70.0,47.0,671.4285714285713,1.4893617021276595,1.4583333333333333
06033800405,350.0,241.0,688.5714285714287,1.4522821576763485,1.4462809917355373
06030100220,36.0,24.0,666.6666666666666,1.5,1.44
06033900117,36.0,24.0,666.6666666666666,1.5,1.44
06032900202,82.0,56.0,682.9268292682927,1.4642857142857142,1.4385964912280702
06030900121,74.0,52.0,702.7027027027027,1.4230769230769231,1.3962264150943395
06031200404,18.0,12.0,666.6666666666666,1.5,1.3846153846153846
06033300313,105.0,76.0,723.8095238095237,1.381578947368421,1.3636363636363635
06033800701,69.0,50.0,724.6376811594203,1.38,1.3529411764705883
06031200202,50.0,36.0,720.0,1.3888888888888888,1.3513513513513513
06031800706,330.0,244.0,739.3939393939394,1.3524590163934427,1.346938775510204
06034000301,32.0,23.0,718.75,1.391304347826087,1.3333333333333333
06033800501,404.0,305.0,754.950495049505,1.3245901639344262,1.3202614379084967
06033501415,33.0,24.0,727.2727272727273,1.375,1.32
06030100210,62.0,46.0,741.9354838709678,1.3478260869565217,1.3191489361702127
06031200427,137.0,104.0,759.1240875912408,1.3173076923076923,1.3047619047619048
06030100129,26.0,19.0,730.7692307692307,1.368421052631579,1.3
06033900214,88.0,67.0,761.3636363636364,1.3134328358208955,1.2941176470588236
06034100109,182.0,140.0,769.2307692307693,1.3,1.2907801418439717
06030900117,135.0,104.0,770.3703703703703,1.2980769230769231,1.2857142857142858
06032900111,45.0,34.0,755.5555555555555,1.3235294117647058,1.2857142857142858
06033900242,27.0,20.0,740.7407407407406,1.35,1.2857142857142858
06032900101,73.0,56.0,767.1232876712328,1.3035714285714286,1.280701754385965
06034100308,139.0,108.0,776.9784172661871,1.287037037037037,1.275229357798165
06033800101,65.0,50.0,769.2307692307693,1.3,1.2745098039215685
06033800708,73.0,57.0,780.8219178082192,1.280701754385965,1.2586206896551724
06030100213,39.0,30.0,769.2307692307693,1.3,1.2580645161290323
06033601004,323.0,256.0,792.5696594427245,1.26171875,1.2568093385214008
06033900333,16.0,12.0,750.0,1.3333333333333333,1.2307692307692308
06031200126,75.0,60.0,800.0,1.25,1.2295081967213115
06031802210,92.0,74.0,804.3478260869565,1.2432432432432432,1.2266666666666666
06030100212,50.0,40.0,800.0,1.25,1.2195121951219512
06033801403,173.0,141.0,815.028901734104,1.2269503546099292,1.2183098591549295
